Gene ID	Gene Name	'adipose tissue specific Trim28 knockout' vs 'wild type genotype' in 'female'.p-value	'adipose tissue specific Trim28 knockout' vs 'wild type genotype' in 'female'.log2foldchange	'adipose tissue specific Trim28 knockout' vs 'wild type genotype' in 'male'.p-value	'adipose tissue specific Trim28 knockout' vs 'wild type genotype' in 'male'.log2foldchange
ENSMUSG00000065673	Gm24258	NA	0	NA	0
ENSMUSG00000065674	Gm24259	NA	0	NA	0
ENSMUSG00000065675	Gm24260	NA	0	NA	0
ENSMUSG00000065676	Snord42b	NA	-0.1	NA	0.1
ENSMUSG00000065678	Gm24261	NA	0	NA	0
ENSMUSG00000065680	Snord38a	NA	0	NA	0
ENSMUSG00000065683	Gm23731	NA	0	NA	0
ENSMUSG00000065684	Gm23733	NA	0	NA	0
ENSMUSG00000065685	Gm23732	NA	0	NA	0
ENSMUSG00000065686	Snora5c	NA	-0.3	NA	0
ENSMUSG00000065687	Gm23734	NA	0	NA	0
ENSMUSG00000065689	n-R5s7	NA	0	NA	0
ENSMUSG00000065691	n-R5s77	NA	0	NA	0
ENSMUSG00000065692	Gm25410	NA	0	NA	-0.1
ENSMUSG00000065694	Gm25411	NA	0	NA	0
ENSMUSG00000065698	Gm25409	NA	0	NA	0
ENSMUSG00000065700	Gm22827	NA	0	NA	0
ENSMUSG00000065701	Rny1	NA	0	NA	0.6
ENSMUSG00000065702	Gm22828	NA	0	NA	0
ENSMUSG00000065705	Gm22829	NA	0	NA	0
ENSMUSG00000065706	Gm22830	NA	0	NA	0
ENSMUSG00000065708	Gm22826	NA	0	NA	0
ENSMUSG00000065709	Gm22341	NA	-0.1	NA	0
ENSMUSG00000065714	Gm25652	NA	0	NA	0.2
ENSMUSG00000065715	Snord7	0.922840027409966	0.3	NA	-0.2
ENSMUSG00000065716	Gm25651	NA	0	NA	0
ENSMUSG00000065718	Gm25650	NA	0	NA	0
ENSMUSG00000065719	n-R5s12	NA	0	NA	0
ENSMUSG00000065721	Gm26168	NA	0	NA	0
ENSMUSG00000065722	Gm26166	NA	0	NA	0
ENSMUSG00000065725	Gm26165	NA	-0.1	NA	-0.1
ENSMUSG00000065726	Gm26163	NA	0	NA	0
ENSMUSG00000065727	Gm26164	NA	0	NA	0
ENSMUSG00000065728	Gm26175	NA	0	NA	0
ENSMUSG00000065729	Gm26176	NA	0	NA	0
ENSMUSG00000065732	Gm24492	NA	0	NA	0
ENSMUSG00000065733	Gm24491	NA	0	NA	0
ENSMUSG00000065734	Snord49a	NA	0.2	NA	-0.1
ENSMUSG00000065735	Snord80	NA	0	NA	0
ENSMUSG00000065737	Gm24490	NA	0	NA	0
ENSMUSG00000065738	Gm24494	NA	-0.2	NA	-0.1
ENSMUSG00000065739	Gm24493	NA	0	NA	0
ENSMUSG00000065742	Gm25007	NA	0	NA	0
ENSMUSG00000065743	Gm25008	NA	0	NA	0
ENSMUSG00000065745	Gm25004	NA	0	NA	0
ENSMUSG00000065746	Gm25005	NA	0	NA	0
ENSMUSG00000065747	Gm25006	NA	0	NA	0
ENSMUSG00000065749	AF357428	NA	0	NA	0
ENSMUSG00000065750	Gm23346	NA	0.5	NA	0.2
ENSMUSG00000065751	Gm23345	NA	0	NA	0
ENSMUSG00000065752	Gm23344	NA	-0.1	NA	0
ENSMUSG00000065757	Gm23347	NA	0	NA	0
ENSMUSG00000065758	n-R5s10	NA	0	NA	0
ENSMUSG00000065760	Gm23848	NA	0	NA	0
ENSMUSG00000065763	Gm23847	NA	0	NA	0
ENSMUSG00000065764	Gm23850	NA	0	NA	0
ENSMUSG00000065765	Gm23851	0.571720440748786	0.8	NA	0.4
ENSMUSG00000065767	Gm23849	NA	-0.2	NA	0.1
ENSMUSG00000065768	Gm23845	NA	0	NA	0
ENSMUSG00000065769	Gm23846	NA	0	NA	0
ENSMUSG00000065770	Gm22155	NA	0	NA	0
ENSMUSG00000065771	n-R5s54	NA	0	NA	-0.1
ENSMUSG00000065773	Rnu1b6	NA	0	NA	0
ENSMUSG00000065778	Gm22154	NA	0.1	NA	0
ENSMUSG00000065782	Gm22680	NA	0	NA	0
ENSMUSG00000065787	Gm22681	NA	0	NA	0
ENSMUSG00000065788	Gm22682	NA	0	NA	0
ENSMUSG00000065789	Gm25869	NA	0	NA	0
ENSMUSG00000065791	Gm25516	NA	0	NA	0
ENSMUSG00000065792	Gm25515	NA	0	NA	0
ENSMUSG00000065794	Gm25514	NA	0	NA	0
ENSMUSG00000065795	Gm25513	NA	0	NA	0
ENSMUSG00000065797	Gm25512	NA	0	NA	0.1
ENSMUSG00000065798	Gm25518	NA	0	NA	-0.1
ENSMUSG00000065799	Gm25517	NA	0.5	NA	0
ENSMUSG00000065800	Gm23042	NA	0	NA	0
ENSMUSG00000065802	Gm23041	NA	0	NA	0
ENSMUSG00000065803	Gm23040	NA	0	NA	0
ENSMUSG00000065804	Gm23039	NA	0	NA	0
ENSMUSG00000065806	n-R5s69	NA	0	NA	0
ENSMUSG00000065807	Gm23038	NA	0	NA	0
ENSMUSG00000065808	Gm23037	NA	0	NA	-0.1
ENSMUSG00000065811	Gm24695	NA	0	NA	0
ENSMUSG00000065812	Gm24696	NA	0	NA	0
ENSMUSG00000065813	n-R5s3	NA	0	NA	0
ENSMUSG00000065815	Gm24697	NA	0	NA	0
ENSMUSG00000065817	Gm24698	NA	0	NA	0.1
ENSMUSG00000065818	Snord35a	0.803152918857252	-0.6	0.663127216861866	0.3
ENSMUSG00000065819	Gm24693	NA	0	NA	0
ENSMUSG00000065820	Gm26316	NA	0	NA	0
ENSMUSG00000065822	Snord15a	NA	0.1	NA	0.1
ENSMUSG00000065823	n-R5s182	NA	0	NA	0
ENSMUSG00000065824	Gm26315	NA	0	NA	0
ENSMUSG00000065825	Gm26314	NA	0	NA	0
ENSMUSG00000065828	Gm26317	NA	0	NA	0
ENSMUSG00000065836	Gm23502	NA	0	NA	0
ENSMUSG00000065837	Gm23503	NA	0	NA	0
ENSMUSG00000065840	Gm25187	NA	0	NA	0
ENSMUSG00000065843	Gm25186	NA	0	NA	0
ENSMUSG00000065845	Gm25189	NA	0	NA	0
ENSMUSG00000065847	Gm25188	NA	0.1	NA	0
ENSMUSG00000065851	Gm22352	NA	0	NA	0
ENSMUSG00000065852	Gm22353	NA	0	NA	0
ENSMUSG00000065853	Gm22354	NA	0	NA	0
ENSMUSG00000065858	Gm22350	NA	0	NA	0
ENSMUSG00000065859	Gm22351	NA	0	NA	0
ENSMUSG00000065862	Gm24029	NA	0	NA	0
ENSMUSG00000065864	Gm24031	NA	0	NA	0
ENSMUSG00000065865	Gm24030	NA	0	NA	0
ENSMUSG00000065866	Gm24032	NA	0	NA	0
ENSMUSG00000065869	Gm24917	NA	0	NA	0
ENSMUSG00000065870	Rnu3a	NA	0	NA	0
ENSMUSG00000065872	Gm25681	NA	0	NA	0
ENSMUSG00000065873	n-R5s183	NA	-0.1	NA	-0.2
ENSMUSG00000065874	Gm25683	NA	0	NA	0
ENSMUSG00000065875	Gm25684	NA	0	NA	0
ENSMUSG00000065876	Gm25682	NA	0	NA	0
ENSMUSG00000065878	Snord34	0.988077505026325	-0.1	0.907091629649764	-0.1
ENSMUSG00000065881	Gm22866	NA	0	NA	0
ENSMUSG00000065882	n-R5s168	NA	0	NA	0
ENSMUSG00000065883	Gm22865	NA	-0.2	NA	-0.1
ENSMUSG00000065884	Gm22864	NA	0	NA	0
ENSMUSG00000065887	n-R5s185	NA	0	NA	0
ENSMUSG00000065889	Gm22868	NA	0	NA	0
ENSMUSG00000065892	Gm24521	NA	0	NA	0
ENSMUSG00000065893	n-R5s151	NA	0	NA	0
ENSMUSG00000065894	n-R5s46	NA	0	NA	0
ENSMUSG00000065898	Gm24522	NA	0	NA	0
ENSMUSG00000065899	Gm24523	NA	0	NA	0
ENSMUSG00000065903	Gm26111	NA	0	NA	0
ENSMUSG00000065904	Gm26109	NA	0	NA	0.1
ENSMUSG00000065905	Gm26110	NA	0	NA	0
ENSMUSG00000065906	Gm26107	NA	0	NA	0
ENSMUSG00000065907	Gm26108	NA	0	NA	0
ENSMUSG00000065911	Gm24447	NA	0	NA	0
ENSMUSG00000065913	Gm24448	NA	0	NA	0
ENSMUSG00000065915	Gm24445	NA	0	NA	0
ENSMUSG00000065916	Gm24446	NA	0	NA	0
ENSMUSG00000065919	Gm24449	NA	0.1	NA	0
ENSMUSG00000065922	n-R5-8s1	NA	0	NA	0
ENSMUSG00000065924	Gm22797	NA	0	NA	0
ENSMUSG00000065926	Gm22798	NA	0	NA	0
ENSMUSG00000065934	Gm25630	NA	-0.3	NA	-0.4
ENSMUSG00000065935	Gm25629	NA	0	NA	0
ENSMUSG00000065936	Gm25628	NA	0	NA	0
ENSMUSG00000065937	Gm25627	NA	0	NA	0
ENSMUSG00000065939	Snora2b	NA	-0.1	NA	0.4
ENSMUSG00000065940	Gm23795	NA	0	NA	0
ENSMUSG00000065943	Gm23794	NA	0	NA	0
ENSMUSG00000065944	Rnu2-10	NA	0	NA	-0.1
ENSMUSG00000065945	Gm23796	NA	0	NA	0
ENSMUSG00000065947	mt-Nd4l	0.987817534659015	0.1	0.527966468828827	0.3
ENSMUSG00000065952	C330021F23Rik	NA	-0.4	NA	0.4
ENSMUSG00000065954	Tacc1	0.98095238524896	0	0.892859658311859	0
ENSMUSG00000065956	Defa37	NA	0	NA	0
ENSMUSG00000065968	Ifitm7	NA	0.1	NA	0
ENSMUSG00000065979	Cpped1	0.945003396467866	0.1	0.173595542401283	-0.1
ENSMUSG00000065987	Cd209b	0.992638332963421	0	0.360897428666186	-0.3
ENSMUSG00000065990	Aurkaip1	0.988077505026325	0	0.20373538763146	-0.2
ENSMUSG00000065999	Zfp985	0.881023015719009	0.4	0.340674131114051	0.5
ENSMUSG00000066000	Zfp979	0.61290032760537	0.7	0.132108887907232	0.6
ENSMUSG00000066007	Zfp600	NA	0	NA	-0.1
ENSMUSG00000066009	Zfp987	NA	0	NA	0
ENSMUSG00000066026	Dhrs3	0.77096924787314	-0.3	0.161384956326499	-0.3
ENSMUSG00000066027	Gm10436	NA	0	NA	0
ENSMUSG00000066030	Oog2	NA	0	NA	0
ENSMUSG00000066031	Gm13023	NA	0	NA	0
ENSMUSG00000066036	Ubr4	0.994143526018358	0	0.440563308099781	-0.1
ENSMUSG00000066037	Hnrnpr	0.993393815760649	0	0.677807662328439	0.1
ENSMUSG00000066042	Med18	0.993844543482029	0	0.938500318254344	0
ENSMUSG00000066043	Phactr4	0.965478815342542	-0.1	0.230510773368252	0.2
ENSMUSG00000066057	Gm1976	0.00229949072870056	0.9	0.0424562276643327	0.6
ENSMUSG00000066058	Cldn19	0.988077505026325	-0.1	NA	-0.1
ENSMUSG00000066060	Gm12866	NA	-0.2	NA	0.3
ENSMUSG00000066061	Olfr1335	NA	0	NA	0
ENSMUSG00000066068	Gm13611	NA	-0.1	NA	0
ENSMUSG00000066071	Cyp4a12a	NA	0	NA	0.1
ENSMUSG00000066072	Cyp4a10	0.950368392237863	-0.2	NA	-0.1
ENSMUSG00000066090	Insl5	NA	-0.2	NA	0.1
ENSMUSG00000066097	Cyp2j11	NA	0	NA	0.4
ENSMUSG00000066100	Krtap5-1	NA	0	NA	0
ENSMUSG00000066101	Gm10153	NA	0	NA	0
ENSMUSG00000066107	Gm12666	NA	0.1	NA	0
ENSMUSG00000066108	Muc5b	NA	0.1	0.0507535336788714	0.9
ENSMUSG00000066113	Adamtsl1	0.0896581403325486	-0.7	0.650185602873923	-0.2
ENSMUSG00000066116	Gm10154	NA	-0.5	NA	0
ENSMUSG00000066122	Olfr45	NA	0.4	NA	0.1
ENSMUSG00000066129	Kndc1	NA	0.1	0.491086813283658	0.2
ENSMUSG00000066137	Gm11487	NA	0	NA	0
ENSMUSG00000066141	Gm11232	0.994326998582825	0	NA	0.3
ENSMUSG00000066148	Prpf4	0.821154488617947	0.1	0.183646673429656	0.2
ENSMUSG00000066149	Cdc26	0.972262462495585	0.1	0.753181932240794	0.1
ENSMUSG00000066150	Slc31a1	0.998033002906015	0	0.109142632039938	0.3
ENSMUSG00000066151	Fkbp15	0.98095238524896	0	0.208106525499841	-0.1
ENSMUSG00000066152	Slc31a2	0.965478815342542	-0.1	0.287694944297159	0.2
ENSMUSG00000066153	Mup21	NA	0.8	NA	0.1
ENSMUSG00000066154	Mup3	0.184213367474927	-1	0.580036486610541	-0.3
ENSMUSG00000066158	AY512931	NA	0.2	NA	0.1
ENSMUSG00000066170	E230001N04Rik	0.974714499473631	0.2	0.528738894195765	0.3
ENSMUSG00000066175	2510046G10Rik	0.896211413679436	0.3	0.886046897602124	-0.1
ENSMUSG00000066176	Gm12511	NA	0	NA	-0.2
ENSMUSG00000066178	6030445D17Rik	0.956516082496505	-0.2	0.641287924184018	-0.2
ENSMUSG00000066180	Gm10155	NA	-0.2	NA	0
ENSMUSG00000066189	Cacng3	NA	0.2	NA	0
ENSMUSG00000066191	Anks6	0.544984560837207	-0.4	0.919933032081914	0
ENSMUSG00000066196	Spag8	0.991884213250507	0	0.00462945911909446	1.2
ENSMUSG00000066197	Gpr139	NA	0	NA	0
ENSMUSG00000066224	Arid3c	NA	-0.2	NA	-0.1
ENSMUSG00000066232	Ipo7	0.873873851867002	0.2	0.167377045013273	0.3
ENSMUSG00000066233	Tmem42	0.744863092084663	-0.3	0.290836755222666	-0.2
ENSMUSG00000066235	Pomgnt2	0.792832491263609	-0.3	0.265900028843909	-0.2
ENSMUSG00000066239	Olfr519	NA	0	NA	0
ENSMUSG00000066240	Olfr517	NA	0	NA	0
ENSMUSG00000066241	Olfr514	NA	0	NA	0
ENSMUSG00000066242	Olfr467	NA	0	NA	0
ENSMUSG00000066245	Gm10156	NA	0	NA	0.3
ENSMUSG00000066257	Olfr206	NA	0	NA	0
ENSMUSG00000066258	Trim12a	0.996902735873204	0	0.246102435579992	-0.1
ENSMUSG00000066262	Olfr640	NA	0	NA	0
ENSMUSG00000066263	Olfr639	NA	0	NA	0
ENSMUSG00000066268	Olfr586	NA	0	NA	0
ENSMUSG00000066269	Olfr575	NA	0	NA	0
ENSMUSG00000066270	Gm10157	NA	0.2	NA	-0.2
ENSMUSG00000066272	Olfr559	NA	-0.1	NA	0
ENSMUSG00000066273	Olfr33	NA	0	NA	0
ENSMUSG00000066278	Vps37b	0.900087952345414	-0.4	0.774541319049181	-0.1
ENSMUSG00000066279	Chrna10	NA	-0.5	NA	-0.1
ENSMUSG00000066306	Numa1	0.850976591331619	-0.2	0.204122125191161	-0.2
ENSMUSG00000066315	Gm12918	NA	0	NA	0
ENSMUSG00000066319	Rtp3	0.831040172975754	0.5	0.341000778289661	0.3
ENSMUSG00000066324	Impad1	0.944397893946403	0.1	0.232817406893792	0.2
ENSMUSG00000066357	Wdr6	0.574462225120551	-0.3	0.10106953325447	-0.3
ENSMUSG00000066359	Tcl1b1	NA	0	NA	0
ENSMUSG00000066361	Serpina3c	0.996412892656888	0	0.0376108260010899	-0.4
ENSMUSG00000066362	Rps13-ps1	NA	-0.1	NA	-0.2
ENSMUSG00000066363	Serpina3f	0.149554732953579	0.9	0.283176548941939	0.5
ENSMUSG00000066364	Serpina3b	NA	-0.6	0.0297345361740272	-0.8
ENSMUSG00000066366	Serpina1a	0.702026678564646	0.6	0.352885754876509	0.3
ENSMUSG00000066368	Actl11	NA	-0.1	NA	0.4
ENSMUSG00000066372	Vmn2r65	NA	0	NA	0
ENSMUSG00000066378	Gm10160	NA	0	NA	0
ENSMUSG00000066382	Iqcf5	NA	0	NA	0
ENSMUSG00000066383	Iqcf1	NA	0	NA	0.1
ENSMUSG00000066389	Rpl31-ps1	NA	0	NA	-0.2
ENSMUSG00000066392	Nrxn3	0.989473296544104	0.1	NA	0.9
ENSMUSG00000066406	Akap13	0.792832491263609	-0.2	0.42324236007238	-0.1
ENSMUSG00000066407	Gm10263	NA	0	NA	0
ENSMUSG00000066415	Msl2	0.939520496337735	0.1	0.0900596811745272	0.3
ENSMUSG00000066438	Plekhd1	NA	-0.2	0.231922786354957	0.6
ENSMUSG00000066440	Zfyve26	0.574067913403817	-0.3	0.00087669503874646	-0.2
ENSMUSG00000066441	Rdh11	0.889478952230266	0.3	0.165249270864771	0.3
ENSMUSG00000066442	Mthfs	0.819638715276893	-0.4	0.343816451528397	-0.4
ENSMUSG00000066443	Gm10163	NA	0	NA	0
ENSMUSG00000066456	Hmgn3	0.989473296544104	0	0.381722446475977	-0.2
ENSMUSG00000066457	S100a11-ps	NA	0	NA	0
ENSMUSG00000066463	Omt2a	NA	0	NA	0
ENSMUSG00000066475	Gm10268	0.938719447934173	-0.3	NA	0.1
ENSMUSG00000066477	Gm16551	NA	0	NA	0
ENSMUSG00000066478	Gm5745	NA	-0.3	NA	0
ENSMUSG00000066487	Gm5786	0.912223157600996	-0.4	0.681385563812927	0.2
ENSMUSG00000066489	Rpl26-ps2	NA	0	NA	-0.1
ENSMUSG00000066491	Cox6c2	0.808559172748091	-0.3	0.446612175478025	-0.1
ENSMUSG00000066500	Izumo2	NA	0	NA	0.1
ENSMUSG00000066510	Ankdd1a	NA	-0.2	0.947321308081771	0.1
ENSMUSG00000066512	Klk1b5	NA	0	NA	0
ENSMUSG00000066513	Klk1b4	NA	0	NA	0
ENSMUSG00000066515	Klk1b3	NA	0	NA	0
ENSMUSG00000066516	Klk1b21	NA	0	NA	0.4
ENSMUSG00000066537	Vmn2r57	0.837339258833737	0.4	0.0197791370686257	0.8
ENSMUSG00000066538	Gm6254	NA	-0.2	NA	0
ENSMUSG00000066543	Rpl17-ps9	NA	0	NA	0
ENSMUSG00000066551	Hmgb1	0.886577977557272	-0.2	0.511491845841623	-0.1
ENSMUSG00000066553	Gm6969	0.821133987209802	-0.3	0.542836170286224	-0.2
ENSMUSG00000066554	Gm10167	0.91540826270555	-0.2	0.77592408775534	-0.1
ENSMUSG00000066568	Lsm14a	0.981389262829797	0	0.85584174775344	0
ENSMUSG00000066571	4931406P16Rik	0.958056624631606	0.2	0.858081544756471	0.1
ENSMUSG00000066583	Scgb1b27	NA	0	NA	0
ENSMUSG00000066584	Scgb2b27	NA	0	NA	0
ENSMUSG00000066586	Scgb2b26	NA	0	NA	0
ENSMUSG00000066592	Gm7589	0.994644999929377	0	NA	-0.2
ENSMUSG00000066595	Flvcr1	0.787999523447726	0.3	0.0632493916653688	0.4
ENSMUSG00000066607	Insyn1	0.895902076248522	-0.3	0.478233210434417	-0.2
ENSMUSG00000066613	Zfp932	0.92157360338233	0.3	0.127487999470008	0.5
ENSMUSG00000066620	Gm4883	NA	-0.2	NA	-0.1
ENSMUSG00000066621	Tecpr1	0.952317992153847	-0.1	0.028015964822207	-0.3
ENSMUSG00000066626	Gm5121	NA	-0.1	NA	-0.1
ENSMUSG00000066629	Rpl36-ps3	0.911378774250757	-0.4	NA	-0.1
ENSMUSG00000066632	Pgk1-rs7	NA	0	NA	0
ENSMUSG00000066637	Ttc32	0.909939023447046	0.2	0.436017013941395	0.2
ENSMUSG00000066640	Fbxl18	0.978033528963831	0	0.124262703433703	-0.2
ENSMUSG00000066643	Wdr35	0.693955215457838	-0.3	0.473414632328372	0.2
ENSMUSG00000066647	Gm5113	0.989473296544104	0	0.567308900503528	0.1
ENSMUSG00000066652	Lefty2	0.988077505026325	-0.1	NA	-0.2
ENSMUSG00000066671	Olfr220	NA	0	NA	0.1
ENSMUSG00000066672	Olfr417	NA	0	NA	0
ENSMUSG00000066677	Ifi208	0.850976591331619	0.4	0.802410654212913	-0.1
ENSMUSG00000066680	Olfr1407-ps1	NA	0	NA	0
ENSMUSG00000066682	Pilrb2	0.988077505026325	0.1	0.214258453840202	-0.4
ENSMUSG00000066684	Pilrb1	0.998033002906015	0	0.719053291565087	-0.1
ENSMUSG00000066687	Zbtb16	0.792832491263609	-0.5	0.291569969314754	-0.4
ENSMUSG00000066688	Gm13083	NA	0	NA	0
ENSMUSG00000066693	Gm7493	NA	-0.1	NA	-0.1
ENSMUSG00000066697	Gm10172	NA	0	NA	0
ENSMUSG00000066704	Cyp2b19	NA	0	NA	0
ENSMUSG00000066705	Fxyd6	0.947668944261202	-0.2	0.037707708090865	0.6
ENSMUSG00000066714	Gm8062	NA	0.1	NA	-0.3
ENSMUSG00000066720	Cldn9	NA	0	0.566175905462047	0.1
ENSMUSG00000066721	Zfp575	0.936549845549046	-0.2	0.772030626029678	-0.2
ENSMUSG00000066724	Gm10175	NA	-0.1	NA	-0.1
ENSMUSG00000066735	Vkorc1l1	0.987419154751267	0	0.441069301993292	-0.1
ENSMUSG00000066747	Olfr878	NA	0	NA	0.1
ENSMUSG00000066748	Olfr145	NA	0	NA	0
ENSMUSG00000066749	Olfr877	NA	0.1	NA	0
ENSMUSG00000066750	Olfr876	NA	0	NA	0
ENSMUSG00000066752	Gm10176	NA	0	NA	0
ENSMUSG00000066755	Tnfsf18	0.99443598764263	0	NA	-0.1
ENSMUSG00000066756	Igfl3	NA	0	NA	0
ENSMUSG00000066760	Psg16	NA	0	NA	0.1
ENSMUSG00000066767	Gm3867	NA	0	NA	0
ENSMUSG00000066771	Gm5614	NA	0.1	NA	-0.2
ENSMUSG00000066772	Obox3	NA	0	NA	0
ENSMUSG00000066797	Zfp648	NA	0	0.581272972244079	0.1
ENSMUSG00000066798	Zbtb6	0.937388452380006	0.1	0.441317503010268	0.2
ENSMUSG00000066800	Rnasel	0.95788993551625	-0.2	0.271415404914618	-0.2
ENSMUSG00000066803	Vmn1r84	NA	0	NA	0
ENSMUSG00000066804	Vmn1r83	NA	0	NA	0
ENSMUSG00000066807	Gm10179	0.382150248454591	0.5	0.837269597822241	0.1
ENSMUSG00000066809	Gm10180	NA	-0.2	NA	0.1
ENSMUSG00000066810	Gm10181	NA	0	NA	0
ENSMUSG00000066820	Vmn2r28	NA	0	NA	0
ENSMUSG00000066828	Vmn2r37	NA	0	NA	0
ENSMUSG00000066829	Zfp810	0.821658688273444	0.2	0.581720201088655	0.1
ENSMUSG00000066838	Zfp772	0.944917999820426	0.1	0.293767649532679	0.2
ENSMUSG00000066839	Ecsit	0.999015946442183	0	0.657465593222953	-0.1
ENSMUSG00000066842	Hmcn1	0.802531153217823	-0.4	0.255970801286345	-0.4
ENSMUSG00000066850	Vmn1r65	NA	0	NA	0
ENSMUSG00000066861	Oas1g	0.992272514930016	0	0.927145231529744	0.1
ENSMUSG00000066867	Oas1e	NA	-0.1	NA	0.3
ENSMUSG00000066877	Nck2	0.912914171100976	-0.2	0.674396868266267	-0.1
ENSMUSG00000066878	Gm10184	0.97890146830671	-0.2	0.828526438829146	-0.1
ENSMUSG00000066880	Zfp617	0.976458402024076	0.1	0.12914682319482	0.3
ENSMUSG00000066892	Fbxl12	0.964893050621764	-0.1	0.33633109265637	-0.2
ENSMUSG00000066894	Vsig10	NA	-0.4	0.925161334724634	0
ENSMUSG00000066896	Olfr18	NA	0.1	NA	0.2
ENSMUSG00000066897	Olfr872	NA	0	NA	0
ENSMUSG00000066899	Olfr870	NA	0	NA	0
ENSMUSG00000066900	Suds3	0.988077505026325	0	0.631040618494648	-0.1
ENSMUSG00000066902	Rps23-ps2	NA	0	NA	0
ENSMUSG00000066905	Olfr860	NA	0	NA	0
ENSMUSG00000066912	Olfr833-ps1	NA	0	NA	0
ENSMUSG00000066914	Olfr831-ps1	NA	0	NA	0
ENSMUSG00000066936	Gm10188	NA	0	NA	0
ENSMUSG00000066938	Gm10190	NA	0	NA	0
ENSMUSG00000066952	Myo1h	0.44775366441429	-0.6	0.609450626669164	-0.2
ENSMUSG00000066958	Gm16391	NA	0	NA	0
ENSMUSG00000066964	Tmem211	NA	0	NA	0
ENSMUSG00000066975	Cryba4	0.997043673285773	0	NA	-0.1
ENSMUSG00000066979	Bub3	0.980047692248723	0	0.995403939740722	0
ENSMUSG00000066983	Gm16519	NA	0.6	NA	-0.1
ENSMUSG00000067001	Serpinb7	NA	-0.1	NA	0.1
ENSMUSG00000067006	Serpinb5	NA	-0.1	NA	0
ENSMUSG00000067010	Vmn2r10	NA	0	NA	0
ENSMUSG00000067017	Gm3608	0.979571071752633	-0.1	0.375846321332134	0.3
ENSMUSG00000067028	Cntnap5b	NA	0.1	NA	0
ENSMUSG00000067038	Rps12-ps3	NA	0	NA	0
ENSMUSG00000067047	Olfr719-ps	NA	0	NA	0
ENSMUSG00000067049	Unc93a	0.864727521394366	0.5	0.0340009397015468	0.9
ENSMUSG00000067058	Rps15a-ps5	NA	-0.3	NA	-0.3
ENSMUSG00000067063	Gm6990	0.882406590726005	-0.4	0.83705376126359	-0.1
ENSMUSG00000067064	Olfr1416	NA	0	NA	0
ENSMUSG00000067071	Hes6	0.87656170591775	-0.2	0.313563059410347	-0.2
ENSMUSG00000067081	Asb18	NA	0	NA	0
ENSMUSG00000067085	Gm10197	NA	0	NA	0
ENSMUSG00000067101	1700010H22Rik	NA	0	NA	0.1
ENSMUSG00000067103	AY702103	NA	0	NA	0.1
ENSMUSG00000067106	Gm5529	0.967079228187755	0.2	NA	0.3
ENSMUSG00000067121	Gm7027	0.964893050621764	-0.2	0.779264255947379	0.1
ENSMUSG00000067122	Gm10198	NA	0	NA	0
ENSMUSG00000067144	Slc22a7	NA	0	NA	0
ENSMUSG00000067147	Rpl7a-ps11	NA	0	NA	0
ENSMUSG00000067148	Polr1c	0.935523518748983	-0.1	0.964291291721524	0
ENSMUSG00000067149	Jchain	0.537384123197795	0.8	0.543869576109132	-0.3
ENSMUSG00000067150	Xpo5	0.942582124122868	-0.1	0.920687801559383	0
ENSMUSG00000067156	Gm7337	NA	0	NA	0
ENSMUSG00000067158	Col4a4	0.441262159849352	-0.5	0.0276532116039564	0.9
ENSMUSG00000067161	Gm5560	0.988077505026325	-0.1	0.941711179927074	0
ENSMUSG00000067173	Mrgpra4	NA	0	NA	-0.4
ENSMUSG00000067186	Olfr132	NA	0	NA	0
ENSMUSG00000067189	Gm7335	0.927331440281663	0.2	0.741166963137106	0.1
ENSMUSG00000067194	Eif1ax	0.978033528963831	0.1	0.55743575885807	0.1
ENSMUSG00000067199	Frat1	0.448857361909732	0.5	0.0196614518125623	0.6
ENSMUSG00000067201	H2-M9	0.930391458980354	0.3	0.93392872462697	-0.1
ENSMUSG00000067203	H2-K2	0.417540053594166	0.4	0.809158999103018	-0.1
ENSMUSG00000067206	Lrrc66	0.316697071022549	0.7	0.0369583828954795	1
ENSMUSG00000067212	H2-T23	0.954775796778502	0.1	0.583590046220329	0.1
ENSMUSG00000067215	Usp51	NA	-0.1	0.0997252050805798	0.7
ENSMUSG00000067219	Nipal1	NA	-0.3	0.505752053332405	-0.4
ENSMUSG00000067220	Cnga1	NA	0	NA	0
ENSMUSG00000067224	Gm3695	0.988077505026325	-0.1	0.893556419357864	-0.1
ENSMUSG00000067225	Cyp2c54	NA	-0.1	NA	0
ENSMUSG00000067229	Cyp2c66	NA	0	NA	0
ENSMUSG00000067231	Cyp2c65	NA	0.1	NA	0
ENSMUSG00000067235	H2-Q10	0.361688624777287	-0.9	2.35927514697945e-14	-1.8
ENSMUSG00000067242	Lgi1	0.744863092084663	0.5	0.734089003593532	0.1
ENSMUSG00000067261	Foxd3	0.830433693637818	-0.5	0.955149337990403	0
ENSMUSG00000067262	Vmn1r239-ps	NA	0	NA	0
ENSMUSG00000067274	Rplp0	0.92335513153399	-0.2	0.592821084400265	-0.1
ENSMUSG00000067276	Capn6	0.625413220366779	-0.6	0.144677292305163	-0.6
ENSMUSG00000067279	Ppp1r3c	0.792832491263609	0.5	0.00274582640918072	0.7
ENSMUSG00000067285	Gm16223	NA	0	NA	0
ENSMUSG00000067288	Rps28	0.92157360338233	-0.2	0.488188413216599	-0.1
ENSMUSG00000067292	Gm10203	NA	0	NA	0
